,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
624,,1985-09-16,,,,1820.0
625,,1985-09-17,,,,2220.0
626,,1985-09-18,,,,2260.0
627,,1985-09-19,,,,2480.0
628,,1985-09-20,,,,2660.0
629,,1985-09-21,,,,2630.0
630,,1985-09-22,,,,2420.0
631,,1985-09-23,,,,2270.0
632,46.0,1985-09-24,3.9848499375,102.62333229999999,3.828641396489095,2480.0
633,,1985-09-25,,,,2620.0
634,,1985-09-26,,,,2510.0
635,,1985-09-27,,,,2210.0
636,,1985-09-28,,,,2220.0
637,,1985-09-29,,,,2120.0
638,,1985-09-30,,,,2090.0
639,,1985-10-01,,,,2060.0
640,,1985-10-02,,,,1940.0
641,,1985-10-03,,,,1920.0
642,,1985-10-04,,,,1900.0
643,,1985-10-05,,,,1790.0
644,,1985-10-06,,,,1750.0
645,,1985-10-07,,,,1700.0
646,,1985-10-08,,,,1660.0
647,,1985-10-09,,,,1620.0
648,,1985-10-10,,,,1590.0
649,,1985-10-11,,,,1560.0
650,,1985-10-12,,,,1620.0
651,,1985-10-13,,,,1640.0
652,,1985-10-14,,,,1800.0
653,,1985-10-15,,,,2270.0
654,,1985-10-16,,,,2590.0
655,,1985-10-17,,,,2690.0
656,,1985-10-18,,,,2920.0
657,,1985-10-19,,,,3230.0
658,,1985-10-20,,,,3470.0
659,,1985-10-21,,,,3140.0
660,,1985-10-22,,,,3050.0
661,,1985-10-23,,,,3070.0
662,,1985-10-24,,,,3070.0
663,,1985-10-25,,,,3260.0
664,,1985-10-26,,,,3030.0
665,,1985-10-27,,,,3430.0
666,,1985-10-28,,,,3520.0
667,,1985-10-29,,,,3040.0
668,,1985-10-30,,,,2750.0
669,,1985-10-31,,,,2640.0
670,,1985-11-01,,,,2570.0
671,,1985-11-02,,,,3400.0
672,,1985-11-03,,,,3260.0
673,,1985-11-04,,,,3030.0
674,,1985-11-05,,,,2820.0
675,,1985-11-06,,,,2620.0
676,,1985-11-07,,,,2540.0
677,,1985-11-08,,,,2460.0
678,,1985-11-09,,,,2360.0
679,,1985-11-10,,,,2230.0
680,2.0,1985-11-11,2.553769049999998,-6.834146050000044,0.6931471805599453,2060.0
681,,1985-11-12,,,,1990.0
682,,1985-11-13,,,,1820.0
683,,1985-11-14,,,,1700.0
684,,1985-11-15,,,,1620.0
